date,area_name,healthcare_type,patients
2020-08-25,Rest of England,Patients admitted to Hospital,51
2020-08-26,London,Patients in mechanical ventilation beds,16
2020-08-26,London,Patients in Hospital,83
2020-08-26,London,Patients admitted to Hospital,5
2020-08-26,Rest of England,Patients in mechanical ventilation beds,39
2020-08-26,Rest of England,Patients in Hospital,402
2020-08-26,Rest of England,Patients admitted to Hospital,47
2020-08-27,London,Patients in mechanical ventilation beds,16
2020-08-27,London,Patients in Hospital,86
2020-08-27,London,Patients admitted to Hospital,5
2020-08-27,Rest of England,Patients in mechanical ventilation beds,46
2020-08-27,Rest of England,Patients in Hospital,406
2020-08-27,Rest of England,Patients admitted to Hospital,64
2020-08-28,London,Patients in mechanical ventilation beds,12
2020-08-28,London,Patients in Hospital,82
2020-08-28,London,Patients admitted to Hospital,11
2020-08-28,Rest of England,Patients in mechanical ventilation beds,40
2020-08-28,Rest of England,Patients in Hospital,387
2020-08-28,Rest of England,Patients admitted to Hospital,33
2020-08-29,London,Patients in mechanical ventilation beds,15
2020-08-29,London,Patients in Hospital,73
2020-08-29,London,Patients admitted to Hospital,6
2020-08-29,Rest of England,Patients in mechanical ventilation beds,41
2020-08-29,Rest of England,Patients in Hospital,405
2020-08-29,Rest of England,Patients admitted to Hospital,46
2020-08-30,London,Patients in mechanical ventilation beds,13
2020-08-30,London,Patients in Hospital,78
2020-08-30,London,Patients admitted to Hospital,6
2020-08-30,Rest of England,Patients in mechanical ventilation beds,39
2020-08-30,Rest of England,Patients in Hospital,401
2020-08-30,Rest of England,Patients admitted to Hospital,32
2020-08-31,London,Patients in mechanical ventilation beds,14
2020-08-31,London,Patients in Hospital,81
2020-08-31,London,Patients admitted to Hospital,6
2020-08-31,Rest of England,Patients in mechanical ventilation beds,40
2020-08-31,Rest of England,Patients in Hospital,414
2020-08-31,Rest of England,Patients admitted to Hospital,46
2020-09-01,London,Patients in mechanical ventilation beds,14
2020-09-01,London,Patients in Hospital,88
2020-09-01,London,Patients admitted to Hospital,6
2020-09-01,Rest of England,Patients in mechanical ventilation beds,45
2020-09-01,Rest of England,Patients in Hospital,408
2020-09-01,Rest of England,Patients admitted to Hospital,52
2020-09-02,London,Patients in mechanical ventilation beds,13
2020-09-02,London,Patients in Hospital,84
2020-09-02,London,Patients admitted to Hospital,11
2020-09-02,Rest of England,Patients in mechanical ventilation beds,46
2020-09-02,Rest of England,Patients in Hospital,367
2020-09-02,Rest of England,Patients admitted to Hospital,68
2020-09-03,London,Patients in mechanical ventilation beds,12
2020-09-03,London,Patients in Hospital,87
2020-09-03,London,Patients admitted to Hospital,15
2020-09-03,Rest of England,Patients in mechanical ventilation beds,46
2020-09-03,Rest of England,Patients in Hospital,381
2020-09-03,Rest of England,Patients admitted to Hospital,54
2020-09-04,London,Patients in mechanical ventilation beds,12
2020-09-04,London,Patients in Hospital,86
2020-09-04,London,Patients admitted to Hospital,11
2020-09-04,Rest of England,Patients in mechanical ventilation beds,42
2020-09-04,Rest of England,Patients in Hospital,388
2020-09-04,Rest of England,Patients admitted to Hospital,56
2020-09-05,London,Patients in mechanical ventilation beds,11
2020-09-05,London,Patients in Hospital,90
2020-09-05,London,Patients admitted to Hospital,23
2020-09-05,Rest of England,Patients in mechanical ventilation beds,39
2020-09-05,Rest of England,Patients in Hospital,381
2020-09-05,Rest of England,Patients admitted to Hospital,71
2020-09-06,London,Patients in mechanical ventilation beds,13
2020-09-06,London,Patients in Hospital,87
2020-09-06,London,Patients admitted to Hospital,12
2020-09-06,Rest of England,Patients in mechanical ventilation beds,39
2020-09-06,Rest of England,Patients in Hospital,396
2020-09-06,Rest of England,Patients admitted to Hospital,73
2020-09-07,London,Patients in mechanical ventilation beds,13
2020-09-07,London,Patients in Hospital,98
2020-09-07,London,Patients admitted to Hospital,5
2020-09-07,Rest of England,Patients in mechanical ventilation beds,49
2020-09-07,Rest of England,Patients in Hospital,457
2020-09-07,Rest of England,Patients admitted to Hospital,79
2020-09-08,London,Patients in mechanical ventilation beds,15
2020-09-08,London,Patients in Hospital,100
2020-09-08,London,Patients admitted to Hospital,11
2020-09-08,Rest of England,Patients in mechanical ventilation beds,49
2020-09-08,Rest of England,Patients in Hospital,435
2020-09-08,Rest of England,Patients admitted to Hospital,88
2020-09-09,London,Patients in mechanical ventilation beds,16
2020-09-09,London,Patients in Hospital,96
2020-09-09,London,Patients admitted to Hospital,17
2020-09-09,Rest of England,Patients in mechanical ventilation beds,48
2020-09-09,Rest of England,Patients in Hospital,461
2020-09-09,Rest of England,Patients admitted to Hospital,119
2020-09-10,London,Patients in mechanical ventilation beds,14
2020-09-10,London,Patients in Hospital,98
2020-09-10,London,Patients admitted to Hospital,19
2020-09-10,Rest of England,Patients in mechanical ventilation beds,48
2020-09-10,Rest of England,Patients in Hospital,474
2020-09-10,Rest of England,Patients admitted to Hospital,124
2020-09-11,London,Patients in mechanical ventilation beds,15
2020-09-11,London,Patients in Hospital,115
2020-09-11,London,Patients admitted to Hospital,13
2020-09-11,Rest of England,Patients in mechanical ventilation beds,114
2020-09-11,Rest of England,Patients in Hospital,507
2020-09-11,Rest of England,Patients admitted to Hospital,122
2020-09-12,London,Patients in mechanical ventilation beds,12
2020-09-12,London,Patients in Hospital,98
2020-09-12,London,Patients admitted to Hospital,19
2020-09-12,Rest of England,Patients in mechanical ventilation beds,58
2020-09-12,Rest of England,Patients in Hospital,565
2020-09-12,Rest of England,Patients admitted to Hospital,124
2020-09-13,London,Patients in mechanical ventilation beds,16
2020-09-13,London,Patients in Hospital,100
2020-09-13,London,Patients admitted to Hospital,23
2020-09-13,Rest of England,Patients in mechanical ventilation beds,58
2020-09-13,Rest of England,Patients in Hospital,591
2020-09-13,Rest of England,Patients admitted to Hospital,130
2020-09-14,London,Patients in mechanical ventilation beds,21
2020-09-14,London,Patients in Hospital,123
2020-09-14,London,Patients admitted to Hospital,31
2020-09-14,Rest of England,Patients in mechanical ventilation beds,67
2020-09-14,Rest of England,Patients in Hospital,689
2020-09-14,Rest of England,Patients admitted to Hospital,141
2020-09-15,London,Patients in mechanical ventilation beds,26
2020-09-15,London,Patients in Hospital,136
2020-09-15,London,Patients admitted to Hospital,26
2020-09-15,Rest of England,Patients in mechanical ventilation beds,75
2020-09-15,Rest of England,Patients in Hospital,755
2020-09-15,Rest of England,Patients admitted to Hospital,168
2020-09-16,London,Patients in mechanical ventilation beds,26
2020-09-16,London,Patients in Hospital,137
2020-09-16,London,Patients admitted to Hospital,25
2020-09-16,Rest of England,Patients in mechanical ventilation beds,81
2020-09-16,Rest of England,Patients in Hospital,792
2020-09-16,Rest of England,Patients admitted to Hospital,158
2020-09-17,London,Patients in mechanical ventilation beds,25
2020-09-17,London,Patients in Hospital,147
2020-09-17,London,Patients admitted to Hospital,28
2020-09-17,Rest of England,Patients in mechanical ventilation beds,83
2020-09-17,Rest of England,Patients in Hospital,837
2020-09-17,Rest of England,Patients admitted to Hospital,171
2020-09-18,London,Patients in mechanical ventilation beds,25
2020-09-18,London,Patients in Hospital,150
2020-09-18,London,Patients admitted to Hospital,41
2020-09-18,Rest of England,Patients in mechanical ventilation beds,90
2020-09-18,Rest of England,Patients in Hospital,870
2020-09-18,Rest of England,Patients admitted to Hospital,164
2020-09-19,London,Patients in mechanical ventilation beds,32
2020-09-19,London,Patients in Hospital,161
2020-09-19,London,Patients admitted to Hospital,32
2020-09-19,Rest of England,Patients in mechanical ventilation beds,91
2020-09-19,Rest of England,Patients in Hospital,920
2020-09-19,Rest of England,Patients admitted to Hospital,172
2020-09-20,London,Patients in mechanical ventilation beds,32
2020-09-20,London,Patients in Hospital,171
2020-09-20,London,Patients admitted to Hospital,38
2020-09-20,Rest of England,Patients in mechanical ventilation beds,110
2020-09-20,Rest of England,Patients in Hospital,1003
2020-09-20,Rest of England,Patients admitted to Hospital,199
2020-09-21,London,Patients in mechanical ventilation beds,31
2020-09-21,London,Patients in Hospital,190
2020-09-21,London,Patients admitted to Hospital,44
2020-09-21,Rest of England,Patients in mechanical ventilation beds,123
2020-09-21,Rest of England,Patients in Hospital,1109
2020-09-21,Rest of England,Patients admitted to Hospital,231
2020-09-22,London,Patients in mechanical ventilation beds,37
2020-09-22,London,Patients in Hospital,210
2020-09-22,London,Patients admitted to Hospital,35
2020-09-22,Rest of England,Patients in mechanical ventilation beds,142
2020-09-22,Rest of England,Patients in Hospital,1168
2020-09-22,Rest of England,Patients admitted to Hospital,233
2020-09-23,London,Patients in mechanical ventilation beds,35
2020-09-23,London,Patients in Hospital,210
2020-09-23,London,Patients admitted to Hospital,36
2020-09-23,Rest of England,Patients in mechanical ventilation beds,157
2020-09-23,Rest of England,Patients in Hospital,1229
2020-09-23,Rest of England,Patients admitted to Hospital,278
2020-09-24,London,Patients in mechanical ventilation beds,40
2020-09-24,London,Patients in Hospital,219
2020-09-24,London,Patients admitted to Hospital,47
2020-09-24,Rest of England,Patients in mechanical ventilation beds,169
2020-09-24,Rest of England,Patients in Hospital,1327
2020-09-24,Rest of England,Patients admitted to Hospital,241
2020-09-25,London,Patients in mechanical ventilation beds,47
2020-09-25,London,Patients in Hospital,230
2020-09-25,London,Patients admitted to Hospital,36
2020-09-25,Rest of England,Patients in mechanical ventilation beds,180
2020-09-25,Rest of England,Patients in Hospital,1456
2020-09-25,Rest of England,Patients admitted to Hospital,238
2020-09-26,London,Patients in mechanical ventilation beds,38
2020-09-26,London,Patients in Hospital,200
2020-09-26,London,Patients admitted to Hospital,28
2020-09-26,Rest of England,Patients in mechanical ventilation beds,185
2020-09-26,Rest of England,Patients in Hospital,1489
2020-09-26,Rest of England,Patients admitted to Hospital,217
2020-09-27,London,Patients in mechanical ventilation beds,48
2020-09-27,London,Patients in Hospital,224
2020-09-27,London,Patients admitted to Hospital,23
2020-09-27,Rest of England,Patients in mechanical ventilation beds,185
2020-09-27,Rest of England,Patients in Hospital,1569
2020-09-27,Rest of England,Patients admitted to Hospital,218
2020-09-28,London,Patients in mechanical ventilation beds,48
2020-09-28,London,Patients in Hospital,267
2020-09-28,London,Patients admitted to Hospital,28
2020-09-28,Rest of England,Patients in mechanical ventilation beds,197
2020-09-28,Rest of England,Patients in Hospital,1688
2020-09-28,Rest of England,Patients admitted to Hospital,280
2020-09-29,London,Patients in mechanical ventilation beds,50
2020-09-29,London,Patients in Hospital,275
2020-09-29,London,Patients admitted to Hospital,36
2020-09-29,Rest of England,Patients in mechanical ventilation beds,209
2020-09-29,Rest of England,Patients in Hospital,1679
2020-09-29,Rest of England,Patients admitted to Hospital,274
2020-09-30,London,Patients in mechanical ventilation beds,49
2020-09-30,London,Patients in Hospital,278
2020-09-30,London,Patients admitted to Hospital,31
2020-09-30,Rest of England,Patients in mechanical ventilation beds,233
2020-09-30,Rest of England,Patients in Hospital,1758
2020-09-30,Rest of England,Patients admitted to Hospital,297
2020-10-01,London,Patients in mechanical ventilation beds,49
2020-10-01,London,Patients in Hospital,275
2020-10-01,London,Patients admitted to Hospital,50
2020-10-01,Rest of England,Patients in mechanical ventilation beds,236
2020-10-01,Rest of England,Patients in Hospital,1794
2020-10-01,Rest of England,Patients admitted to Hospital,318
2020-10-02,London,Patients in mechanical ventilation beds,56
2020-10-02,London,Patients in Hospital,276
2020-10-02,London,Patients admitted to Hospital,37
2020-10-02,Rest of England,Patients in mechanical ventilation beds,255
2020-10-02,Rest of England,Patients in Hospital,1904
2020-10-02,Rest of England,Patients admitted to Hospital,334
2020-10-03,London,Patients in mechanical ventilation beds,56
2020-10-03,London,Patients in Hospital,280
2020-10-03,London,Patients admitted to Hospital,38
2020-10-03,Rest of England,Patients in mechanical ventilation beds,251
2020-10-03,Rest of England,Patients in Hospital,2010
2020-10-03,Rest of England,Patients admitted to Hospital,348
2020-10-04,London,Patients in mechanical ventilation beds,50
2020-10-04,London,Patients in Hospital,287
2020-10-04,London,Patients admitted to Hospital,27
2020-10-04,Rest of England,Patients in mechanical ventilation beds,260
2020-10-04,Rest of England,Patients in Hospital,2148
2020-10-04,Rest of England,Patients admitted to Hospital,451
2020-10-05,London,Patients in mechanical ventilation beds,56
2020-10-05,London,Patients in Hospital,326
2020-10-05,London,Patients admitted to Hospital,47
2020-10-05,Rest of England,Patients in mechanical ventilation beds,275
2020-10-05,Rest of England,Patients in Hospital,2379
2020-10-05,Rest of England,Patients admitted to Hospital,425
2020-10-06,London,Patients in mechanical ventilation beds,60
2020-10-06,London,Patients in Hospital,320
2020-10-06,London,Patients admitted to Hospital,43
2020-10-06,Rest of England,Patients in mechanical ventilation beds,289
2020-10-06,Rest of England,Patients in Hospital,2583
2020-10-06,Rest of England,Patients admitted to Hospital,481
2020-10-07,London,Patients in mechanical ventilation beds,59
2020-10-07,London,Patients in Hospital,350
2020-10-07,London,Patients admitted to Hospital,46
2020-10-07,Rest of England,Patients in mechanical ventilation beds,317
2020-10-07,Rest of England,Patients in Hospital,2716
2020-10-07,Rest of England,Patients admitted to Hospital,445
2020-10-08,London,Patients in mechanical ventilation beds,51
2020-10-08,London,Patients in Hospital,343
2020-10-08,London,Patients admitted to Hospital,39
2020-10-08,Rest of England,Patients in mechanical ventilation beds,317
2020-10-08,Rest of England,Patients in Hospital,2836
2020-10-08,Rest of England,Patients admitted to Hospital,474
2020-10-09,London,Patients in mechanical ventilation beds,50
2020-10-09,London,Patients in Hospital,348
2020-10-09,London,Patients admitted to Hospital,55
2020-10-09,Rest of England,Patients in mechanical ventilation beds,317
2020-10-09,Rest of England,Patients in Hospital,2890
2020-10-09,Rest of England,Patients admitted to Hospital,489
2020-10-10,London,Patients in mechanical ventilation beds,52
2020-10-10,London,Patients in Hospital,341
2020-10-10,London,Patients admitted to Hospital,51
2020-10-10,Rest of England,Patients in mechanical ventilation beds,344
2020-10-10,Rest of England,Patients in Hospital,3028
2020-10-10,Rest of England,Patients admitted to Hospital,464
2020-10-11,London,Patients in mechanical ventilation beds,57
2020-10-11,London,Patients in Hospital,365
2020-10-11,London,Patients admitted to Hospital,50
2020-10-11,Rest of England,Patients in mechanical ventilation beds,344
2020-10-11,Rest of England,Patients in Hospital,3239
2020-10-11,Rest of England,Patients admitted to Hospital,578
2020-10-12,London,Patients in mechanical ventilation beds,65
2020-10-12,London,Patients in Hospital,389
2020-10-12,London,Patients admitted to Hospital,69
2020-10-12,Rest of England,Patients in mechanical ventilation beds,361
2020-10-12,Rest of England,Patients in Hospital,3438
2020-10-12,Rest of England,Patients admitted to Hospital,595
2020-10-13,London,Patients in mechanical ventilation beds,66
2020-10-13,London,Patients in Hospital,442
2020-10-13,London,Patients admitted to Hospital,73
2020-10-13,Rest of England,Patients in mechanical ventilation beds,375
2020-10-13,Rest of England,Patients in Hospital,3663
2020-10-13,Rest of England,Patients admitted to Hospital,691
2020-10-14,London,Patients in mechanical ventilation beds,77
2020-10-14,London,Patients in Hospital,430
2020-10-14,London,Patients admitted to Hospital,76
2020-10-14,Rest of England,Patients in mechanical ventilation beds,391
2020-10-14,Rest of England,Patients in Hospital,3883
2020-10-14,Rest of England,Patients admitted to Hospital,630
2020-10-15,London,Patients in mechanical ventilation beds,78
2020-10-15,London,Patients in Hospital,439
2020-10-15,London,Patients admitted to Hospital,78
2020-10-15,Rest of England,Patients in mechanical ventilation beds,404
2020-10-15,Rest of England,Patients in Hospital,4130
2020-10-15,Rest of England,Patients admitted to Hospital,714
2020-10-16,London,Patients in mechanical ventilation beds,80
2020-10-16,London,Patients in Hospital,490
2020-10-16,London,Patients admitted to Hospital,67
2020-10-16,Rest of England,Patients in mechanical ventilation beds,402
2020-10-16,Rest of England,Patients in Hospital,4364
2020-10-16,Rest of England,Patients admitted to Hospital,565
2020-10-17,London,Patients in mechanical ventilation beds,83
2020-10-17,London,Patients in Hospital,502
2020-10-17,London,Patients admitted to Hospital,87
2020-10-17,Rest of England,Patients in mechanical ventilation beds,412
2020-10-17,Rest of England,Patients in Hospital,4527
2020-10-17,Rest of England,Patients admitted to Hospital,698
2020-10-18,London,Patients in mechanical ventilation beds,87
2020-10-18,London,Patients in Hospital,542
2020-10-18,London,Patients admitted to Hospital,95
2020-10-18,Rest of England,Patients in mechanical ventilation beds,417
2020-10-18,Rest of England,Patients in Hospital,4660
2020-10-18,Rest of England,Patients admitted to Hospital,775
2020-10-19,London,Patients in mechanical ventilation beds,89
2020-10-19,London,Patients in Hospital,594
2020-10-19,London,Patients admitted to Hospital,90
2020-10-19,Rest of England,Patients in mechanical ventilation beds,440
2020-10-19,Rest of England,Patients in Hospital,5050
2020-10-19,Rest of England,Patients admitted to Hospital,771
2020-10-20,London,Patients in mechanical ventilation beds,88
2020-10-20,London,Patients in Hospital,610
2020-10-20,London,Patients admitted to Hospital,89
2020-10-20,Rest of England,Patients in mechanical ventilation beds,472
2020-10-20,Rest of England,Patients in Hospital,5462
2020-10-20,Rest of England,Patients admitted to Hospital,836
2020-10-21,London,Patients in mechanical ventilation beds,90
2020-10-21,London,Patients in Hospital,633
2020-10-21,London,Patients admitted to Hospital,114
2020-10-21,Rest of England,Patients in mechanical ventilation beds,482
2020-10-21,Rest of England,Patients in Hospital,5638
2020-10-21,Rest of England,Patients admitted to Hospital,883
2020-10-22,London,Patients in mechanical ventilation beds,81
2020-10-22,London,Patients in Hospital,606
2020-10-22,London,Patients admitted to Hospital,108
2020-10-22,Rest of England,Patients in mechanical ventilation beds,483
2020-10-22,Rest of England,Patients in Hospital,5739
2020-10-22,Rest of England,Patients admitted to Hospital,879
2020-10-23,London,Patients in mechanical ventilation beds,99
2020-10-23,London,Patients in Hospital,698
2020-10-23,London,Patients admitted to Hospital,125
2020-10-23,Rest of England,Patients in mechanical ventilation beds,503
2020-10-23,Rest of England,Patients in Hospital,6144
2020-10-23,Rest of England,Patients admitted to Hospital,872
2020-10-24,London,Patients in mechanical ventilation beds,98
2020-10-24,London,Patients in Hospital,722
2020-10-24,London,Patients admitted to Hospital,108
2020-10-24,Rest of England,Patients in mechanical ventilation beds,534
2020-10-24,Rest of England,Patients in Hospital,6454
2020-10-24,Rest of England,Patients admitted to Hospital,882
2020-10-25,London,Patients in mechanical ventilation beds,111
2020-10-25,London,Patients in Hospital,762
2020-10-25,London,Patients admitted to Hospital,118
2020-10-25,Rest of England,Patients in mechanical ventilation beds,552
2020-10-25,Rest of England,Patients in Hospital,6850
2020-10-25,Rest of England,Patients admitted to Hospital,1068
2020-10-26,London,Patients in mechanical ventilation beds,117
2020-10-26,London,Patients in Hospital,815
2020-10-26,London,Patients admitted to Hospital,155
2020-10-26,Rest of England,Patients in mechanical ventilation beds,565
2020-10-26,Rest of England,Patients in Hospital,7041
2020-10-26,Rest of England,Patients admitted to Hospital,1124
2020-10-27,London,Patients in mechanical ventilation beds,119
2020-10-27,London,Patients in Hospital,889
2020-10-27,London,Patients admitted to Hospital,109
2020-10-27,Rest of England,Patients in mechanical ventilation beds,624
2020-10-27,Rest of England,Patients in Hospital,7706
2020-10-27,Rest of England,Patients admitted to Hospital,1081
2020-10-28,London,Patients in mechanical ventilation beds,124
2020-10-28,London,Patients in Hospital,933
2020-10-28,London,Patients admitted to Hospital,112
2020-10-28,Rest of England,Patients in mechanical ventilation beds,664
2020-10-28,Rest of England,Patients in Hospital,8137
2020-10-28,Rest of England,Patients admitted to Hospital,1127
2020-10-29,London,Patients in mechanical ventilation beds,131
2020-10-29,London,Patients in Hospital,921
2020-10-29,London,Patients admitted to Hospital,140
2020-10-29,Rest of England,Patients in mechanical ventilation beds,672
2020-10-29,Rest of England,Patients in Hospital,8206
2020-10-29,Rest of England,Patients admitted to Hospital,1205
2020-10-30,London,Patients in mechanical ventilation beds,134
2020-10-30,London,Patients in Hospital,945
2020-10-30,London,Patients admitted to Hospital,126
2020-10-30,Rest of England,Patients in mechanical ventilation beds,667
2020-10-30,Rest of England,Patients in Hospital,8350
2020-10-30,Rest of England,Patients admitted to Hospital,983
2020-10-31,London,Patients in mechanical ventilation beds,132
2020-10-31,London,Patients in Hospital,963
2020-10-31,London,Patients admitted to Hospital,132
2020-10-31,Rest of England,Patients in mechanical ventilation beds,684
2020-10-31,Rest of England,Patients in Hospital,8819
2020-10-31,Rest of England,Patients admitted to Hospital,1108
2020-11-01,London,Patients in mechanical ventilation beds,136
2020-11-01,London,Patients in Hospital,1032
2020-11-01,London,Patients admitted to Hospital,134
2020-11-01,Rest of England,Patients in mechanical ventilation beds,668
2020-11-01,Rest of England,Patients in Hospital,8591
2020-11-01,Rest of England,Patients admitted to Hospital,1146
2020-11-02,London,Patients in mechanical ventilation beds,142
2020-11-02,London,Patients in Hospital,1067
2020-11-02,London,Patients admitted to Hospital,136
2020-11-02,Rest of England,Patients in mechanical ventilation beds,741
2020-11-02,Rest of England,Patients in Hospital,9330
2020-11-02,Rest of England,Patients admitted to Hospital,1195
2020-11-03,London,Patients in mechanical ventilation beds,147
2020-11-03,London,Patients in Hospital,1111
2020-11-03,London,Patients admitted to Hospital,103
2020-11-03,Rest of England,Patients in mechanical ventilation beds,807
2020-11-03,Rest of England,Patients in Hospital,9860
2020-11-03,Rest of England,Patients admitted to Hospital,1143
2020-11-04,London,Patients in mechanical ventilation beds,151
2020-11-04,London,Patients in Hospital,1132
2020-11-04,London,Patients admitted to Hospital,123
2020-11-04,Rest of England,Patients in mechanical ventilation beds,846
2020-11-04,Rest of England,Patients in Hospital,9905
2020-11-04,Rest of England,Patients admitted to Hospital,1259
2020-11-05,London,Patients in mechanical ventilation beds,154
2020-11-05,London,Patients in Hospital,1102
2020-11-05,London,Patients admitted to Hospital,118
2020-11-05,Rest of England,Patients in mechanical ventilation beds,832
2020-11-05,Rest of England,Patients in Hospital,9892
2020-11-05,Rest of England,Patients admitted to Hospital,1228
2020-11-06,London,Patients in mechanical ventilation beds,155
2020-11-06,London,Patients in Hospital,1085
2020-11-06,London,Patients admitted to Hospital,101
2020-11-06,Rest of England,Patients in mechanical ventilation beds,829
2020-11-06,Rest of England,Patients in Hospital,10096
2020-11-06,Rest of England,Patients admitted to Hospital,1081
2020-11-07,London,Patients in mechanical ventilation beds,156
2020-11-07,London,Patients in Hospital,1108
2020-11-07,London,Patients admitted to Hospital,109
2020-11-07,Rest of England,Patients in mechanical ventilation beds,847
2020-11-07,Rest of England,Patients in Hospital,10406
2020-11-07,Rest of England,Patients admitted to Hospital,1210
2020-11-08,London,Patients in mechanical ventilation beds,167
2020-11-08,London,Patients in Hospital,1114
2020-11-08,London,Patients admitted to Hospital,150
2020-11-08,Rest of England,Patients in mechanical ventilation beds,850
2020-11-08,Rest of England,Patients in Hospital,10566
2020-11-08,Rest of England,Patients admitted to Hospital,1338
2020-11-09,London,Patients in mechanical ventilation beds,179
2020-11-09,London,Patients in Hospital,1210
2020-11-09,London,Patients admitted to Hospital,136
2020-11-09,Rest of England,Patients in mechanical ventilation beds,869
2020-11-09,Rest of England,Patients in Hospital,11049
2020-11-09,Rest of England,Patients admitted to Hospital,1415
2020-11-10,London,Patients in mechanical ventilation beds,179
2020-11-10,London,Patients in Hospital,1211
2020-11-10,London,Patients admitted to Hospital,147
2020-11-10,Rest of England,Patients in mechanical ventilation beds,831
2020-11-10,Rest of England,Patients in Hospital,10822
2020-11-10,Rest of England,Patients admitted to Hospital,1445
2020-11-11,London,Patients in mechanical ventilation beds,181
2020-11-11,London,Patients in Hospital,1223
2020-11-11,London,Patients admitted to Hospital,134
2020-11-11,Rest of England,Patients in mechanical ventilation beds,900
2020-11-11,Rest of England,Patients in Hospital,11507
2020-11-11,Rest of England,Patients admitted to Hospital,1577
2020-11-12,London,Patients in mechanical ventilation beds,178
2020-11-12,London,Patients in Hospital,1269
2020-11-12,London,Patients admitted to Hospital,152
2020-11-12,Rest of England,Patients in mechanical ventilation beds,910
2020-11-12,Rest of England,Patients in Hospital,11698
2020-11-12,Rest of England,Patients admitted to Hospital,1514
2020-11-13,London,Patients in mechanical ventilation beds,194
2020-11-13,London,Patients in Hospital,1298
2020-11-13,London,Patients admitted to Hospital,136
2020-11-13,Rest of England,Patients in mechanical ventilation beds,964
2020-11-13,Rest of England,Patients in Hospital,12030
2020-11-13,Rest of England,Patients admitted to Hospital,1297
2020-11-14,London,Patients in mechanical ventilation beds,202
2020-11-14,London,Patients in Hospital,1357
2020-11-14,London,Patients admitted to Hospital,139
2020-11-14,Rest of England,Patients in mechanical ventilation beds,960
2020-11-14,Rest of England,Patients in Hospital,12042
2020-11-14,Rest of England,Patients admitted to Hospital,1249
2020-11-15,London,Patients in mechanical ventilation beds,214
2020-11-15,London,Patients in Hospital,1390
2020-11-15,London,Patients admitted to Hospital,170
2020-11-15,Rest of England,Patients in mechanical ventilation beds,980
2020-11-15,Rest of England,Patients in Hospital,12496
2020-11-15,Rest of England,Patients admitted to Hospital,1297
2020-11-16,London,Patients in mechanical ventilation beds,209
2020-11-16,London,Patients in Hospital,1474
2020-11-16,London,Patients admitted to Hospital,154
2020-11-16,Rest of England,Patients in mechanical ventilation beds,989
2020-11-16,Rest of England,Patients in Hospital,12839
2020-11-16,Rest of England,Patients admitted to Hospital,1406
2020-11-17,London,Patients in mechanical ventilation beds,218
2020-11-17,London,Patients in Hospital,1520
2020-11-17,London,Patients admitted to Hospital,152
2020-11-17,Rest of England,Patients in mechanical ventilation beds,1010
2020-11-17,Rest of England,Patients in Hospital,12891
2020-11-17,Rest of England,Patients admitted to Hospital,1339
2020-11-18,London,Patients in mechanical ventilation beds,220
2020-11-18,London,Patients in Hospital,1519
2020-11-18,London,Patients admitted to Hospital,179
2020-11-18,Rest of England,Patients in mechanical ventilation beds,1022
2020-11-18,Rest of England,Patients in Hospital,12971
2020-11-18,Rest of England,Patients admitted to Hospital,1392
2020-11-19,London,Patients in mechanical ventilation beds,222
2020-11-19,London,Patients in Hospital,1551
2020-11-19,London,Patients admitted to Hospital,173
2020-11-19,Rest of England,Patients in mechanical ventilation beds,1019
2020-11-19,Rest of England,Patients in Hospital,12928
2020-11-19,Rest of England,Patients admitted to Hospital,1311
2020-11-20,London,Patients in mechanical ventilation beds,233
2020-11-20,London,Patients in Hospital,1576
2020-11-20,London,Patients admitted to Hospital,116
2020-11-20,Rest of England,Patients in mechanical ventilation beds,1008
2020-11-20,Rest of England,Patients in Hospital,12660
2020-11-20,Rest of England,Patients admitted to Hospital,1200
2020-11-21,London,Patients in mechanical ventilation beds,251
2020-11-21,London,Patients in Hospital,1591
2020-11-21,London,Patients admitted to Hospital,165
2020-11-21,Rest of England,Patients in mechanical ventilation beds,997
2020-11-21,Rest of England,Patients in Hospital,12527
2020-11-21,Rest of England,Patients admitted to Hospital,1090
2020-11-22,London,Patients in mechanical ventilation beds,248
2020-11-22,London,Patients in Hospital,1605
2020-11-22,London,Patients admitted to Hospital,145
2020-11-22,Rest of England,Patients in mechanical ventilation beds,1011
2020-11-22,Rest of England,Patients in Hospital,12749
2020-11-22,Rest of England,Patients admitted to Hospital,1188
2020-11-23,London,Patients in mechanical ventilation beds,252
2020-11-23,London,Patients in Hospital,1675
2020-11-23,London,Patients admitted to Hospital,147
2020-11-23,Rest of England,Patients in mechanical ventilation beds,1047
2020-11-23,Rest of England,Patients in Hospital,13037
2020-11-23,Rest of England,Patients admitted to Hospital,1238
2020-11-24,London,Patients in mechanical ventilation beds,253
2020-11-24,London,Patients in Hospital,1626
2020-11-24,London,Patients admitted to Hospital,131
2020-11-24,Rest of England,Patients in mechanical ventilation beds,1053
2020-11-24,Rest of England,Patients in Hospital,12880
2020-11-24,Rest of England,Patients admitted to Hospital,1146
2020-11-25,London,Patients in mechanical ventilation beds,261
2020-11-25,London,Patients in Hospital,1611
2020-11-25,London,Patients admitted to Hospital,200
2020-11-25,Rest of England,Patients in mechanical ventilation beds,1039
2020-11-25,Rest of England,Patients in Hospital,12629
2020-11-25,Rest of England,Patients admitted to Hospital,1215
2020-11-26,London,Patients in mechanical ventilation beds,251
